time=4031, port=1, send=1, transmission=successfully

time=4041, port=1, send=0, transmission=successfully

time=4051, port=1, send=1, transmission=successfully

time=4061, port=1, send=1, transmission=successfully

time=4071, port=1, send=1, transmission=successfully

time=4081, port=1, send=1, transmission=successfully

time=4091, port=1, send=1, transmission=successfully

time=4101, port=1, send=0, transmission=successfully

time=4111, port=1, send=0, transmission=successfully

time=4121, port=1, send=1, transmission=successfully

time=4131, port=1, send=0, transmission=successfully

time=4141, port=1, send=1, transmission=successfully

time=4151, port=1, send=1, transmission=successfully

time=4161, port=1, send=0, transmission=successfully

time=4171, port=1, send=1, transmission=successfully

time=4181, port=1, send=0, transmission=successfully

time=4191, port=1, send=0, transmission=successfully

time=4201, port=1, send=1, transmission=successfully

time=4211, port=1, send=0, transmission=successfully

time=4221, port=1, send=0, transmission=successfully

time=4231, port=1, send=0, transmission=successfully

time=4241, port=1, send=0, transmission=successfully

time=4251, port=1, send=0, transmission=successfully

time=4261, port=1, send=1, transmission=successfully

time=4271, port=1, send=0, transmission=successfully

time=4281, port=1, send=0, transmission=successfully

time=4291, port=1, send=0, transmission=successfully

time=4301, port=1, send=0, transmission=successfully

time=4311, port=1, send=0, transmission=successfully

time=4321, port=1, send=0, transmission=successfully

time=4331, port=1, send=0, transmission=successfully

time=4341, port=1, send=1, transmission=successfully

time=4351, port=1, send=0, transmission=successfully

time=4361, port=1, send=1, transmission=successfully

time=4371, port=1, send=0, transmission=successfully

time=4381, port=1, send=0, transmission=successfully

time=4391, port=1, send=0, transmission=successfully

time=4401, port=1, send=0, transmission=successfully

time=4411, port=1, send=0, transmission=successfully

time=4421, port=1, send=1, transmission=successfully

time=4431, port=1, send=0, transmission=successfully

time=4441, port=1, send=1, transmission=successfully

time=4451, port=1, send=0, transmission=successfully

time=4461, port=1, send=0, transmission=successfully

time=4471, port=1, send=0, transmission=successfully

time=4481, port=1, send=0, transmission=successfully

time=4491, port=1, send=1, transmission=successfully

time=4501, port=1, send=1, transmission=successfully

time=4511, port=1, send=0, transmission=successfully

time=4521, port=1, send=1, transmission=successfully

time=4531, port=1, send=1, transmission=successfully

time=4541, port=1, send=0, transmission=successfully

time=4551, port=1, send=0, transmission=successfully

time=4561, port=1, send=0, transmission=successfully

time=4571, port=1, send=1, transmission=successfully

time=4581, port=1, send=1, transmission=successfully

time=4591, port=1, send=0, transmission=successfully

time=4601, port=1, send=0, transmission=successfully

time=4611, port=1, send=1, transmission=successfully

time=4621, port=1, send=0, transmission=successfully

time=4631, port=1, send=0, transmission=successfully

time=4641, port=1, send=0, transmission=successfully

time=4651, port=1, send=1, transmission=successfully

time=4661, port=1, send=1, transmission=successfully

time=4671, port=1, send=0, transmission=successfully

time=4681, port=1, send=1, transmission=successfully

time=4691, port=1, send=1, transmission=successfully

time=4701, port=1, send=0, transmission=successfully

time=4711, port=1, send=0, transmission=successfully

time=4721, port=1, send=0, transmission=successfully

time=4731, port=1, send=0, transmission=successfully

time=4741, port=1, send=1, transmission=successfully

time=4751, port=1, send=0, transmission=successfully

time=4761, port=1, send=1, transmission=successfully

time=4771, port=1, send=0, transmission=successfully

time=4781, port=1, send=0, transmission=successfully

time=4791, port=1, send=0, transmission=successfully

time=4801, port=1, send=0, transmission=successfully

time=4811, port=1, send=0, transmission=successfully

time=4821, port=1, send=0, transmission=successfully

time=4831, port=1, send=1, transmission=successfully

time=4841, port=1, send=1, transmission=successfully

time=4851, port=1, send=0, transmission=successfully

time=4861, port=1, send=0, transmission=successfully

time=4871, port=1, send=1, transmission=successfully

time=4881, port=1, send=1, transmission=successfully

time=4891, port=1, send=1, transmission=successfully

time=4901, port=1, send=1, transmission=successfully

time=4911, port=1, send=0, transmission=successfully

time=4921, port=1, send=1, transmission=successfully

time=4931, port=1, send=0, transmission=successfully

time=4941, port=1, send=0, transmission=successfully

time=4951, port=1, send=0, transmission=successfully

time=4961, port=1, send=1, transmission=successfully

time=4971, port=1, send=1, transmission=successfully

time=4981, port=1, send=0, transmission=successfully

time=4991, port=1, send=0, transmission=successfully

time=5001, port=1, send=1, transmission=successfully

time=5011, port=1, send=0, transmission=successfully

time=5021, port=1, send=0, transmission=successfully

time=5031, port=1, send=0, transmission=successfully

time=5041, port=1, send=0, transmission=successfully

time=5051, port=1, send=0, transmission=successfully

time=5061, port=1, send=1, transmission=successfully

time=5071, port=1, send=0, transmission=successfully

time=5081, port=1, send=1, transmission=successfully

time=5091, port=1, send=0, transmission=successfully

time=5101, port=1, send=0, transmission=successfully

time=5111, port=1, send=0, transmission=successfully

time=5121, port=1, send=0, transmission=successfully

time=5131, port=1, send=1, transmission=successfully

time=5141, port=1, send=1, transmission=successfully

time=5151, port=1, send=0, transmission=successfully

time=5161, port=1, send=1, transmission=successfully

time=5171, port=1, send=1, transmission=successfully

time=5181, port=1, send=0, transmission=successfully

time=5191, port=1, send=0, transmission=successfully

time=5201, port=1, send=0, transmission=successfully

time=5211, port=1, send=1, transmission=successfully

time=5221, port=1, send=1, transmission=successfully

time=5231, port=1, send=0, transmission=successfully

time=5241, port=1, send=0, transmission=successfully

time=5251, port=1, send=1, transmission=successfully

time=5261, port=1, send=0, transmission=successfully

time=5271, port=1, send=0, transmission=successfully

time=5281, port=1, send=0, transmission=successfully

time=5291, port=1, send=1, transmission=successfully

time=5301, port=1, send=1, transmission=successfully

time=5311, port=1, send=0, transmission=successfully

time=5321, port=1, send=1, transmission=successfully

time=5331, port=1, send=1, transmission=successfully

time=5341, port=1, send=0, transmission=successfully

time=5351, port=1, send=0, transmission=successfully

time=5361, port=1, send=0, transmission=successfully

time=5371, port=1, send=0, transmission=successfully

time=5381, port=1, send=1, transmission=successfully

time=5391, port=1, send=0, transmission=successfully

time=5401, port=1, send=1, transmission=successfully

time=5411, port=1, send=0, transmission=successfully

time=5421, port=1, send=0, transmission=successfully

time=5431, port=1, send=0, transmission=successfully

time=5441, port=1, send=0, transmission=successfully

time=5451, port=1, send=0, transmission=successfully

time=5461, port=1, send=0, transmission=successfully

time=5471, port=1, send=1, transmission=successfully

time=5481, port=1, send=1, transmission=successfully

time=5491, port=1, send=0, transmission=successfully

time=5501, port=1, send=0, transmission=successfully

time=5511, port=1, send=1, transmission=successfully

time=5521, port=1, send=1, transmission=successfully

time=5531, port=1, send=1, transmission=successfully

time=5541, port=1, send=1, transmission=successfully

time=5551, port=1, send=0, transmission=successfully

time=5561, port=1, send=1, transmission=successfully

time=5571, port=1, send=0, transmission=successfully

time=5581, port=1, send=0, transmission=successfully

time=5591, port=1, send=0, transmission=successfully

time=5601, port=1, send=1, transmission=successfully

time=5611, port=1, send=1, transmission=successfully

time=5621, port=1, send=0, transmission=successfully

time=5631, port=1, send=0, transmission=successfully

time=5641, port=1, send=1, transmission=successfully

time=5651, port=1, send=0, transmission=successfully

time=5661, port=1, send=0, transmission=successfully

time=5671, port=1, send=1, transmission=successfully

time=5681, port=1, send=1, transmission=successfully

time=5691, port=1, send=1, transmission=successfully

time=5701, port=1, send=1, transmission=successfully

time=5711, port=1, send=1, transmission=successfully

time=5721, port=1, send=0, transmission=successfully

time=5731, port=1, send=0, transmission=successfully

time=5741, port=1, send=0, transmission=successfully

time=5751, port=1, send=1, transmission=successfully

time=5761, port=1, send=1, transmission=successfully

time=5771, port=1, send=0, transmission=successfully

time=5781, port=1, send=0, transmission=successfully

time=5791, port=1, send=0, transmission=successfully

time=5801, port=1, send=1, transmission=successfully

time=5811, port=1, send=1, transmission=successfully
time=5811, port=1, receive=1


time=5821, port=1, receive=1

