time=12365, port=1, receive=0

time=12375, port=1, receive=1

time=12385, port=1, receive=1

time=12395, port=1, receive=0

time=12405, port=1, receive=1

time=12415, port=1, receive=0

time=12425, port=1, receive=0

time=12435, port=1, receive=1

time=12445, port=1, receive=0

time=12455, port=1, receive=0

time=12465, port=1, receive=0

time=12475, port=1, receive=0

time=12485, port=1, receive=0

time=12495, port=1, receive=1

time=12505, port=1, receive=1

time=12515, port=1, receive=0

time=12525, port=1, receive=1

time=12535, port=1, receive=0

time=12545, port=1, receive=0

time=12555, port=1, receive=0

time=12565, port=1, receive=0

time=12575, port=1, receive=0

time=12585, port=1, receive=0

time=12595, port=1, receive=1

time=12605, port=1, receive=0

time=12615, port=1, receive=0

time=12625, port=1, receive=0

time=12635, port=1, receive=0

time=12645, port=1, receive=0

time=12655, port=1, receive=1

time=12665, port=1, receive=0

time=12675, port=1, receive=1

time=12685, port=1, receive=0

time=12695, port=1, receive=0

time=12705, port=1, receive=0

time=12715, port=1, receive=0

time=12725, port=1, receive=0

time=12735, port=1, receive=0

time=12745, port=1, receive=1

time=12755, port=1, receive=1

time=12765, port=1, receive=0

time=12775, port=1, receive=0

time=12785, port=1, receive=1

time=12795, port=1, receive=1

time=12805, port=1, receive=1

time=12815, port=1, receive=1

time=12825, port=1, receive=0

time=12835, port=1, receive=1

time=12845, port=1, receive=0

time=12855, port=1, receive=0

time=12865, port=1, receive=0

time=12875, port=1, receive=0

time=12885, port=1, receive=1

time=12895, port=1, receive=1

time=12905, port=1, receive=1

time=12915, port=1, receive=1

time=12925, port=1, receive=1

time=12935, port=1, receive=0

time=12945, port=1, receive=0

time=12955, port=1, receive=0

time=12965, port=1, receive=0

time=12975, port=1, receive=1

time=12985, port=1, receive=0

time=12995, port=1, receive=1

time=13005, port=1, receive=0

time=13015, port=1, receive=0

time=13025, port=1, receive=0

time=13035, port=1, receive=0

time=13045, port=1, receive=0

time=13055, port=1, receive=0

time=13065, port=1, receive=1

time=13075, port=1, receive=1

time=13085, port=1, receive=0

time=13095, port=1, receive=0

time=13105, port=1, receive=1

time=13115, port=1, receive=1

time=13125, port=1, receive=1

time=13135, port=1, receive=1

time=13145, port=1, receive=0

time=13155, port=1, receive=1

time=13165, port=1, receive=0
